source_url,source_name,source_page_type,access_status,model_value,leakage_risk,parser_difficulty,notes,extraction_timestamp
https://racing.hkjc.com/en-us/local/information/localresults,HKJC,Results,restricted,high,post_race_only,medium,Primary official results page. Use racedate/Racecourse/RaceNo query params for specific races. | discovery_probe=status_code=403,2026-04-28T16:33:58.148194+00:00
https://racing.hkjc.com/en-us/local/information/racecard,HKJC,Race Card,restricted,high,low,medium,Primary pre-race declarations and entries. | discovery_probe=status_code=403,2026-04-28T16:33:58.148194+00:00
https://bet.hkjc.com/racing/pages/odds_wp.aspx,HKJC,Current Odds,restricted,high,time_sensitive,high,Public odds board; requires timestamped snapshots. | discovery_probe=status_code=403,2026-04-28T16:33:58.148194+00:00
https://racing.hkjc.com/en-us/local/information/dividend,HKJC,Dividends,restricted,medium,post_race_only,medium,Dividend pools and pay-outs. | discovery_probe=status_code=403,2026-04-28T16:33:58.148194+00:00
https://racing.hkjc.com/en-us/local/information/changes,HKJC,Changes,restricted,medium,low,low,Late gear/rider/runner changes. | discovery_probe=status_code=403,2026-04-28T16:33:58.148194+00:00
https://racing.hkjc.com/en-us/horse/vetRecords,HKJC,Veterinary Records,restricted,medium,mixed,medium,Use historically for future races only. | discovery_probe=status_code=403,2026-04-28T16:33:58.148194+00:00
https://racing.hkjc.com/en-us/local/information/trackwork,HKJC,Trackwork,restricted,medium,low,medium,Public trackwork tables when published. | discovery_probe=status_code=403,2026-04-28T16:33:58.148194+00:00
https://racing.hkjc.com/en-us/local/information/racereportfull,HKJC,Race Report,restricted,medium,post_race_only,medium,Post-race official reporting pages including incident and comments on running. | discovery_probe=status_code=403,2026-04-28T16:33:58.148194+00:00
https://racing.hkjc.com/en-us/racing/fixture,HKJC,Fixtures,restricted,low,low,low,Top-level fixture and schedule navigation. | discovery_probe=status_code=403,2026-04-28T16:33:58.148194+00:00
https://www.hkhorsedb.com/,HKHorseDB,Secondary Enrichment,placeholder,secondary,review_required,unknown,Secondary source only; never overrides HKJC.,2026-04-28T16:33:58.148194+00:00
